year	rgdp	unem 	empl 	infl 	inve	curr	migr	oilp
1992	24.90693956011	1.00	70.6399993896484	2962.81	0.1	4.73	-15.978	19.32
1993	23.409027475688	1.11	70.8399963378906	2169.80	1.2714	8.12	-17.868	17.01
1994	21.25083925809	7.54	66.7300033569336	1160.26	0.6597	60.37	-17.575	15.86
1995	20.374307047115	10.58	64.5299987792969	176.36	0.9642	64.46	-17.282	17.02
1996	21.035357832802	12.96	62.9300003051758	39.18	1.137	74	-16.989	20.64
1997	22.165932062966	13.01	62.689998626709	17.4	1.3214	75	-16.696	19.11
1998	22.135245413231	13.13	62.6100006103516	7.13	1.1514	84.01	-16.403	12.76
1999	16.870817134777	13.46	62.2000007629395	8.32	1.587	138.39	-13.005	17.90
2000	18.291990619137	12.75	62.2700004577637	13.15	1.3705211991464	145.45	-9.607	28.66
2001	22.152694161888	10.43	63.3199996948242	8.37	2.81682305	150.66	-6.209	24.46
2002	24.636593223347	9.33	63.6800003051758	5.85	2.58849106	155.86	-2.811	24.99
2003	30.833699702759	8.78	63.7000007629395	6.45	2.48325323	143.21	0.587	28.85
2004	43.15164700261	8.40	63.4300003051758	6.87	5.615262947	130.01	0.381	38.26
2005	57.123671733895	8.13	63.8699989318848	7.52	2.54606571	133.66	0.174	54.57
2006	81.00388454541	7.79	64.2900009155273	8.58	7.61116845	126.83	-0.032	65.16
2007	104.84988682558	7.26	64.9199981689453	10.78	11.972842988762	120.62	-0.239	72.44
2008	115.30866114293	6.63	65.6800003051758	17.15	16.81889068	121.21	-0.445	96.94
2009	115.30866114293	6.55	65.4599990844727	7.3	14.275888207014	148.52	0.022	61.74
2010	148.04734824064	5.77	66.3000030517578	7.13	7.4561179010815	147.45	0.489	79.61
2011	192.62650797158	5.39	66.5899963378906	8.35	13.760291528503	148.46	0.956	111.26
2012	207.99856886579	5.29	66.75	5.12	13.648134373844	150.28	1.423	11.57
2013	236.6345520781	5.20	66.9400024414063	5.83	10.011293285307	154.23	1.890	108.56
2014	221.4155728195	5.06	67.2900009155273	6.72	7.3081126442512	182.5	1.314	98.97
2015	184.38843214871	4.93	67.4000015258789	6.65	6.577824049679	358.15	0.738	53.03
2016	137.27832008417	4.96	66.6500015258789	14.56	17.220962547922	333.035	0.162	45.13
2017	166.8058005957	4.9	65.8499984741211	7.43	4.7126314705261	330.37	-0.414	54.71
2018	179.33999485938	4.83	65.75	6.03	0.2139309345581	375.63	-0.990	71.34
2019	181.6659085565	4.59	65.5100021362305	5.24	3.587949040684	376.77	-0.792	64.28
